frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2309.0,[751.780029296875 1369.1063232421875 1428.3668212890625 1984.149169921875],[991.2223510742188 1763.555419921875 1166.061279296875 1826.5205078125],0.3716139495372772,UNKNOWN,0
2,2309.0,[750.9086929400235 1379.561913372499 1431.6112339869098 2000.5004078665224],[947.7896728515625 1773.46240234375 1188.050537109375 1853.058349609375],0.3266972303390503,UNKNOWN,0
3,2309.0,[743.2073967150469 1386.599758188855 1429.121743898762 2011.9125711519628],[972.5241088867188 1812.48388671875 1180.6446533203125 1879.799560546875],0.264583021402359,UNKNOWN,0
4,2309.0,[736.5668817828073 1392.007478242252 1422.9627301553578 2020.7947992844224],[970.3870239257812 1828.4658203125 1171.115234375 1885.7933349609375],0.5668860077857971,UNKNOWN,0
5,2309.0,[734.8501188349871 1397.5636407946222 1430.4092566323322 2030.8249863931542],[984.8507690429688 1828.3604736328125 1173.8238525390625 1885.5322265625],0.6384862065315247,NA13NRU,0.6043161206955249
6,2309.0,[728.4138731551225 1403.6617713824096 1424.1652665808551 2040.4513394905227],[963.6163330078125 1836.1407470703125 1174.0264892578125 1882.5008544921875],0.5902684330940247,UNKNOWN,0
7,2309.0,[724.8274383472292 1407.2210730943416 1425.3353433373384 2052.4805678232233],[964.2717895507812 1843.022216796875 1169.2733154296875 1896.459716796875],0.6109248399734497,UNKNOWN,0
8,2309.0,[719.5129644854072 1413.4621998479329 1421.5347221933698 2058.1772765552996],[942.0628662109375 1846.2799072265625 1159.5704345703125 1917.0706787109375],0.5657315254211426,MA13NRU,0.18322415515564075
9,2309.0,[710.8977160061718 1419.1475443672066 1416.5863270365567 2066.772064187904],[934.7135620117188 1844.7880859375 1140.9241943359375 1923.02099609375],0.3469454348087311,NA13NRU,0.4129665004666759
9,2312.0,[2197.0641068309924 1192.5998949804025 2827.441419134513 1794.917127985464],[2420.43408203125 1622.404052734375 2575.757568359375 1679.1143798828125],0.28401094675064087,UNKNOWN,0
10,2309.0,[702.3404581859138 1423.688422479347 1410.7450170608201 2073.107927760979],[927.54541015625 1855.517578125 1169.7381591796875 1935.064208984375],0.5104493498802185,NA13NRU,0.8194130012487308
11,2309.0,[698.6542729461148 1430.889319213171 1408.3772382690122 2081.6773534189565],[958.6002197265625 1865.249755859375 1176.455810546875 1937.62548828125],0.5385080575942993,NA13NRU,0.2586478913280259
12,2309.0,[694.5272004040131 1440.170541330522 1406.8764171715393 2092.0020377055607],[960.358154296875 1883.1427001953125 1151.4017333984375 1942.4071044921875],0.4850066304206848,NA13NRU,0.5783902049428578
12,2312.0,[2196.2155709542594 1204.6281727576245 2816.996088867415 1809.5166947736477],[2435.390380859375 1627.749267578125 2590.536376953125 1699.67822265625],0.2548689544200897,UNKNOWN,0
13,2309.0,[692.3090936588173 1442.6339395544578 1406.5628832925731 2096.9102066316873],[920.453369140625 1889.52392578125 1133.9013671875 1946.3812255859375],0.567859947681427,NA13NRU,0.1570191110082707
14,2309.0,[688.4919006451387 1449.6706297150781 1402.7394308521566 2104.7809402329017],[912.8262329101562 1889.7354736328125 1154.8858642578125 1955.013916015625],0.5334089398384094,NA13NRU,0.2707832011400945
15,2309.0,[683.7241596731119 1458.310193567787 1400.438330379994 2112.2380772849897],[918.483642578125 1909.123291015625 1149.4090576171875 1968.2200927734375],0.5827013850212097,NA13NRU,0.8093474295000522
15,2312.0,[2200.0961445050602 1220.8300623907217 2820.96028165734 1828.0678909402504],[2453.052490234375 1662.3897705078125 2596.0009765625 1724.1993408203125],0.2562862038612366,UNKNOWN,0
16,2309.0,[680.1881044041168 1463.5376781412642 1400.6431092232558 2117.440573452446],[901.7413940429688 1899.0628662109375 1149.947509765625 1977.3880615234375],0.25591856241226196,UNKNOWN,0
16,2312.0,[2200.626818028004 1225.059346958784 2822.7058214042954 1833.4864190849041],[2442.577392578125 1655.584716796875 2593.573486328125 1722.271728515625],0.3878325819969177,UNKNOWN,0
17,2309.0,[674.5300511666114 1470.5010697850857 1396.9399215266103 2125.4179324225634],[912.4014282226562 1916.4505615234375 1136.2059326171875 1993.060791015625],0.5666135549545288,NA13NRU,0.2148685033686965
17,2312.0,[2201.8059440277884 1231.248159480407 2822.122034904638 1843.996623716734],[2445.267578125 1672.190673828125 2591.49951171875 1733.4014892578125],0.43897542357444763,ND51VSU,0.13736099096710055
18,2312.0,[2200.575096447106 1245.1792352771004 2825.216633454102 1856.8479549140957],[2450.08984375 1678.549560546875 2604.37548828125 1736.523193359375],0.43721163272857666,NI51VSU,0.09708487070217099
18,2309.0,[672.1124814799539 1482.362161661999 1393.9159635040153 2136.276630042363],[905.9257202148438 1916.8095703125 1118.2222900390625 1992.776611328125],0.3195638656616211,NA13NRU,0.31011320574912765
19,2312.0,[2201.3607399199586 1250.3481007460455 2831.3738094127643 1862.445852662183],[2445.068359375 1685.6732177734375 2602.34033203125 1744.6624755859375],0.43211930990219116,HL51YSU,0.24952717895215565
19,2309.0,[670.326230602308 1490.8403346806037 1393.7578813177456 2143.315068399014],[908.6257934570312 1931.5 1137.744873046875 2010.84130859375],0.4248267114162445,NA13NRU,0.650150336150096
20,2309.0,[666.7806414455615 1496.7433473370372 1391.9916767805942 2148.3663827414694],[891.1781005859375 1933.005859375 1142.73486328125 2010.91748046875],0.5351204872131348,UNKNOWN,0
20,2312.0,[2203.931325188967 1251.0688985409815 2838.023359750173 1866.8701230774045],[2456.19140625 1692.58837890625 2606.142333984375 1750.263427734375],0.3494044840335846,UNKNOWN,0
21,2309.0,[660.6732517413232 1505.8292449058727 1387.7688527926182 2153.0997566899264],[883.475830078125 1940.342529296875 1134.170654296875 2023.567138671875],0.5550177693367004,NA13NRU,0.5025733196775344
21,2312.0,[2204.7920481778174 1252.4685386282742 2842.5137014111006 1872.43699485281],[2457.72021484375 1695.0247802734375 2605.583251953125 1743.817626953125],0.38132116198539734,UNKNOWN,0
22,2309.0,[656.3521582334315 1509.870009270634 1385.097018912895 2154.886565891223],[885.6756591796875 1952.215087890625 1123.7138671875 2022.6158447265625],0.6302903294563293,NA13MRU,0.5862101807416401
23,2309.0,[652.6933896863648 1515.3823774210105 1382.9984417513012 2155.95176621727],[900.8638305664062 1969.9964599609375 1132.1302490234375 2043.9150390625],0.295483261346817,NA13NRU,0.5112120475944545
23,2312.0,[2209.7981981668354 1260.3949559657178 2854.733053749459 1884.8195963024202],[2464.51318359375 1721.003173828125 2623.77880859375 1790.6773681640625],0.2854079306125641,MU51VSU,0.2197389497273342
24,2309.0,[650.2832783391275 1520.3662855121902 1381.5166729101006 2155.9895513722754],[893.0343627929688 1973.06103515625 1128.0447998046875 2045.1029052734375],0.3582545816898346,NA13NRU,0.32668129688825875
24,2312.0,[2208.664196454131 1266.4355298237144 2855.478325450488 1894.3317651256968],[2453.040283203125 1717.1669921875 2626.6298828125 1787.61669921875],0.4216906726360321,UNKNOWN,0
25,2309.0,[648.5996504777613 1525.5537246922895 1380.0947772470565 2156.01870794204],[898.767578125 1992.5654296875 1122.3740234375 2059.098388671875],0.542457103729248,UNKNOWN,0
25,2312.0,[2208.2040461301463 1266.8001104721902 2858.6136684413573 1899.0111415630258],[2450.67333984375 1718.9383544921875 2611.357666015625 1790.6407470703125],0.3488329350948334,UNKNOWN,0
26,2309.0,[645.4959568400418 1532.7846880063169 1380.0516344687746 2157.177368883331],[876.5674438476562 1993.68798828125 1130.8336181640625 2067.287353515625],0.42990636825561523,NA13NRU,0.1809768907478799
27,2309.0,[643.2699939105826 1540.0449553549097 1380.7712494969799 2156.757536140786],[910.5086669921875 2006.3359375 1150.3585205078125 2082.47802734375],0.5047764778137207,MA13MRU,0.19724522832688463
27,2312.0,[2205.698073829133 1268.538880651809 2858.413905818117 1911.4542913763376],[2461.5908203125 1725.8975830078125 2627.0009765625 1795.458251953125],0.43483319878578186,HO51VSU,0.0573458935038983
28,2309.0,[639.788449525578 1546.190826843004 1378.6767015086616 2156.654018820833],[895.4620971679688 2010.9248046875 1125.21435546875 2083.29736328125],0.5129289031028748,NA13MRU,0.4233244990236711
28,2312.0,[2206.388489972179 1268.1872389256207 2860.8774324480864 1917.3094813743267],[2458.677978515625 1730.9937744140625 2632.73974609375 1805.104736328125],0.4597100615501404,UNKNOWN,0
29,2309.0,[635.5648500020337 1554.1612512514778 1374.8998283839242 2157.2500878018013],[893.7596435546875 2025.8759765625 1113.9371337890625 2092.621826171875],0.5491731762886047,UNKNOWN,0
29,2312.0,[2208.65027186359 1278.8982946696885 2864.548656791536 1928.6722647097115],[2460.968505859375 1752.6875 2623.101806640625 1811.2091064453125],0.43486037850379944,HV51NSU,0.13856655503990423
30,2309.0,[634.706007793279 1562.6531677057865 1372.4205538543497 2158.320100899122],[854.1376953125 2034.4228515625 1067.9434814453125 2107.13037109375],0.547549843788147,UNKNOWN,0
30,2312.0,[2209.3280629885267 1286.58332233684 2865.183902336208 1939.2915226233831],[2458.39990234375 1756.578369140625 2627.539794921875 1823.86572265625],0.5300812721252441,UNKNOWN,0
31,2309.0,[636.206339289499 1568.3108954104669 1372.534931016858 2157.3133776395202],[876.0958862304688 2048.613525390625 1090.590576171875 2111.110595703125],0.5401718616485596,UNKNOWN,0
31,2312.0,[2209.386606172988 1290.1847082980419 2866.035507063711 1947.3277824601944],[2465.63134765625 1769.33056640625 2625.220458984375 1826.33544921875],0.282605916261673,UNKNOWN,0
32,2309.0,[632.3219066533318 1577.3691833208118 1369.7703479387515 2156.7633517879117],[860.853759765625 2050.065185546875 1100.7833251953125 2118.668212890625],0.3201662600040436,UNKNOWN,0
33,2309.0,[622.6321358961588 1584.8094080963597 1364.9633437756409 2156.107704078926],[880.352783203125 2068.600341796875 1079.386962890625 2135.748046875],0.37274643778800964,UNKNOWN,0
33,2312.0,[2214.4501566853824 1309.0215782027885 2870.988250722491 1966.1545167998238],[2468.750732421875 1775.636474609375 2629.8115234375 1840.239501953125],0.25224462151527405,UNKNOWN,0
34,2312.0,[2215.9495380387384 1311.895772447103 2873.3187135341955 1969.8930140624266],[2466.552978515625 1787.8837890625 2633.493896484375 1863.42236328125],0.29389050602912903,UNKNOWN,0
35,2312.0,[2218.136678884708 1315.4452659292276 2875.3178841496583 1976.3957728800476],[2465.030029296875 1784.8758544921875 2643.305908203125 1862.4227294921875],0.45330625772476196,UNKNOWN,0
35,2309.0,[604.6633470337531 1600.1015044134745 1357.8554195366717 2156.9227365865427],[897.3703002929688 2083.32666015625 1081.8922119140625 2155.89013671875],0.2920137047767639,MA13MRU,0.20795332268329828
36,2312.0,[2216.0626590205993 1320.9338681240558 2874.106799002545 1985.649203829639],[2472.5791015625 1792.8720703125 2646.567626953125 1866.0015869140625],0.47605225443840027,UNKNOWN,0
37,2312.0,[2216.089342897213 1324.602058296573 2872.8780474968953 1993.045709999611],[2472.913818359375 1799.2607421875 2644.468994140625 1866.591552734375],0.4026470184326172,UNKNOWN,0
38,2312.0,[2217.7012937358136 1334.0718914678646 2872.9285404136494 2003.4259738921555],[2486.898681640625 1807.5450439453125 2647.489013671875 1871.96826171875],0.4228579103946686,UNKNOWN,0
38,2313.0,[1142.3146553663405 1127.6296860290647 1718.6132688324255 1580.0779601968136],[1344.505126953125 1422.1873779296875 1500.317138671875 1491.7325439453125],0.2618299424648285,UNKNOWN,0
39,2312.0,[2217.2182234877255 1340.6528834975254 2877.935426608571 2010.3838177454193],[2478.8564453125 1834.71044921875 2640.478271484375 1887.0885009765625],0.3129551410675049,NU51KSU,0.3875252086266315
39,2313.0,[1139.434761616089 1132.3361815258445 1717.898043657372 1584.9158387256139],[1320.2044677734375 1423.8265380859375 1481.87646484375 1495.6658935546875],0.2734944224357605,UNKNOWN,0
40,2312.0,[2217.800528945649 1344.1510460324887 2883.3906988877657 2015.5160586520872],[2474.828369140625 1832.9979248046875 2646.05859375 1889.5262451171875],0.43004274368286133,UNKNOWN,0
40,2313.0,[1132.9338751029004 1134.1305794173966 1716.0022215831887 1588.5622291827196],[1336.99755859375 1393.9683837890625 1493.023681640625 1462.666748046875],0.292692631483078,UNKNOWN,0
41,2312.0,[2220.175806090283 1354.791432704621 2887.719130188082 2026.0418430390691],[2472.3447265625 1840.603515625 2642.946533203125 1893.484375],0.4213971793651581,UNKNOWN,0
42,2312.0,[2223.956001409886 1366.2805783258905 2896.0137310972077 2039.036401645532],[2484.612060546875 1843.5673828125 2644.849853515625 1896.2459716796875],0.32894906401634216,MT51VSU,0.0886954645380892
42,2313.0,[1133.541364529058 1140.9303265767444 1714.3718943121305 1596.7077598589572],[1334.3402099609375 1441.47900390625 1493.759765625 1503.2572021484375],0.3126939833164215,UNKNOWN,0
44,2312.0,[2222.257951833551 1372.1242966394125 2903.099152227635 2052.4856364363072],[2480.781982421875 1851.00390625 2651.8779296875 1915.6741943359375],0.34314393997192383,UNKNOWN,0
45,2312.0,[2222.2216075252063 1377.0855375608267 2904.863963725331 2060.8430702855526],[2486.33203125 1858.031982421875 2661.28173828125 1939.11962890625],0.49348583817481995,UNKNOWN,0
46,2312.0,[2223.500719773899 1381.25144256139 2908.2105225822975 2067.1808162543457],[2479.464111328125 1861.7313232421875 2662.908203125 1939.2587890625],0.4955369532108307,UNKNOWN,0
46,2313.0,[1121.4749597843033 1157.5024978555386 1706.1156315249618 1621.0368592713933],[1331.937744140625 1455.294921875 1475.909423828125 1510.7877197265625],0.3944314420223236,UNKNOWN,0
47,2312.0,[2226.2023079324413 1384.0800442049251 2918.4225323217256 2073.672861821138],[2485.37060546875 1874.0341796875 2655.12451171875 1941.62939453125],0.4167465567588806,UNKNOWN,0
48,2312.0,[2225.8148440895284 1392.0317406865188 2920.2483088059034 2082.838766510253],[2486.6962890625 1895.9744873046875 2650.007568359375 1957.123779296875],0.4135405123233795,MW51TSL,0.0828209205782173
48,2313.0,[1118.646083162077 1164.353578095865 1708.263300323511 1631.9558031479992],[1311.8265380859375 1446.82568359375 1464.0897216796875 1521.1640625],0.36990779638290405,UNKNOWN,0
49,2313.0,[1115.2342161890258 1167.801027925792 1705.7580832184074 1636.619329388548],[1331.457275390625 1457.1231689453125 1483.3436279296875 1525.490234375],0.5398746132850647,UNKNOWN,0
