frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
94,2308,2058.7027672566014 1079.5224465719327 2542.85528226614 1505.2213434333441,2135.75146484375 1382.35498046875 2340.74462890625 1440.616943359375,0.2915511727333069,UNKNOWN,0
95,2308,2057.6304741493623 1084.2373199972974 2543.5014920110734 1510.4119445648319,2173.65673828125 1368.5860595703125 2382.362060546875 1429.015380859375,0.47334885597229004,AF05JEO,0.33134911640078857
96,2308,2058.8355519555803 1086.3511019719112 2546.7918389212023 1512.5815195726395,2195.543212890625 1368.188232421875 2387.58251953125 1423.9683837890625,0.3298214077949524,AP05JEO,0.24909614237778444
97,2308,2058.0827779533993 1089.030325168523 2547.756929692672 1516.268294963613,2178.655029296875 1384.0335693359375 2377.46533203125 1435.281982421875,0.2502036392688751,UNKNOWN,0
98,2308,2056.5697942804168 1090.555813910934 2548.9805034254077 1520.1004592270924,2192.0802001953125 1385.0159301757812 2389.942138671875 1435.7656860351562,0,0,0
99,2308,2055.0568106074343 1092.0813026533447 2550.2040771581433 1523.9326234905716,2205.50537109375 1385.998291015625 2402.4189453125 1436.2493896484375,0.3058357834815979,UNKNOWN,0
100,2308,2053.3588997504025 1093.3650433995988 2550.71117923087 1528.5303806301597,2227.701416015625 1386.572509765625 2408.41796875 1439.131103515625,0.2770235240459442,AF05JEO,0.26215280374281086
101,2308,2054.370814958963 1096.5786857506178 2552.174730176537 1534.0678751929568,2127.7783203125 1386.245849609375 2361.885009765625 1439.9407958984375,0.29330137372016907,AF05JEE,0.3165536638163542
102,2308,2056.19818957395 1099.929651951782 2557.590714058305 1540.8408362308992,2231.84765625 1380.18798828125 2401.78125 1434.105224609375,0.3115465044975281,AP05JEO,0.25682214945225357
103,2308,2055.990469528832 1103.1451898487853 2558.5122021975194 1544.654453085863,2226.108468191964 1387.5128696986608 2401.0993303571427 1442.9489222935267,0,0,0
104,2308,2055.7827494837134 1106.3607277457888 2559.4336903367343 1548.4680699408268,2220.3692801339284 1394.8377511160713 2400.417410714286 1451.7926199776787,0,0,0
105,2308,2055.5750294385953 1109.5762656427921 2560.355178475949 1552.2816867957906,2214.6300920758927 1402.162632533482 2399.7354910714284 1460.6363176618304,0,0,0
106,2308,2055.3673093934767 1112.7918035397954 2561.2766666151633 1556.0953036507547,2208.8909040178573 1409.487513950893 2399.0535714285716 1469.480015345982,0,0,0
107,2308,2055.1595893483586 1116.0073414367987 2562.198154754378 1559.9089205057185,2203.1517159598216 1416.8123953683037 2398.371651785714 1478.3237130301338,0,0,0
108,2308,2054.95186930324 1119.2228793338022 2563.1196428935928 1563.7225373606823,2197.412527901786 1424.1372767857142 2397.6897321428573 1487.1674107142858,0,0,0
109,2308,2054.744149258122 1122.4384172308055 2564.0411310328072 1567.536154215646,2191.67333984375 1431.462158203125 2397.0078125 1496.0111083984375,0.3559607267379761,UNKNOWN,0
110,2308,2055.150962947796 1126.7911242545897 2564.46445236995 1573.338423629492,2149.508056640625 1427.474365234375 2375.3095703125 1497.79052734375,0.3479234278202057,AP05JEL,0.4159187133717384
111,2308,2055.759859057401 1129.9610062210425 2567.775301939077 1576.9934375013477,2167.0371907552085 1430.7135009765625 2382.3130696614585 1498.1433512369792,0,0,0
112,2308,2056.368755167006 1133.1308881874952 2571.0861515082047 1580.6484513732032,2184.5663248697915 1433.95263671875 2389.3165690104165 1498.4961751302083,0,0,0
113,2308,2056.977651276611 1136.300770153948 2574.397001077332 1584.303465245059,2202.095458984375 1437.1917724609375 2396.320068359375 1498.8489990234375,0.26138365268707275,AP05JEQ,0.27497268409724085
114,2308,2055.6562579389965 1138.3401500666137 2576.0470033081283 1588.109458389768,2204.7542724609375 1434.4141845703125 2411.67578125 1498.0982666015625,0,0,0
115,2308,2054.3348646013824 1140.3795299792796 2577.697005538925 1591.9154515344767,2207.4130859375 1431.6365966796875 2427.031494140625 1497.3475341796875,0.3681293725967407,AF05JEO,0.42705359266356707
116,2308,2053.4320364031832 1143.7770384626815 2578.8652182249675 1597.5407037605096,2203.1375732421875 1444.756591796875 2429.7010498046875 1507.8218994140625,0,0,0
