epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.964,2.65247,2.77939,2.79509,0.79336,0.7015,0.75813,0.40012,1.7552,1.28122,1.80544,0.000665911,0.000665911,0.000665911
2,253.48,1.58663,1.12695,1.62513,0.91835,0.78711,0.86736,0.51541,1.46672,0.99284,1.51985,0.00120065,0.00120065,0.00120065
3,359.095,1.43571,0.90381,1.46445,0.93458,0.83748,0.8951,0.55229,1.37069,0.82764,1.42222,0.00160339,0.00160339,0.00160339
4,465.749,1.38866,0.82466,1.42171,0.94299,0.85467,0.91506,0.56738,1.36939,0.78395,1.40171,0.001406,0.001406,0.001406
5,578.462,1.31779,0.74615,1.36498,0.95005,0.84124,0.91464,0.58598,1.29569,0.74381,1.35156,0.001208,0.001208,0.001208
6,685.116,1.29687,0.70403,1.34444,0.94599,0.85566,0.91956,0.59267,1.28051,0.71127,1.34297,0.00101,0.00101,0.00101
7,791.61,1.26341,0.67079,1.31254,0.92693,0.88186,0.92757,0.60136,1.2697,0.66576,1.33402,0.000812,0.000812,0.000812
8,899.43,1.23763,0.63261,1.29148,0.94484,0.89479,0.93259,0.60723,1.24928,0.65773,1.30597,0.000614,0.000614,0.000614
9,1007.17,1.21424,0.59972,1.27541,0.95015,0.88635,0.93311,0.61136,1.23394,0.64432,1.29542,0.000416,0.000416,0.000416
10,1111.6,1.18657,0.5774,1.25408,0.95549,0.90754,0.93063,0.61761,1.2053,0.60244,1.27517,0.000218,0.000218,0.000218
